,dp,eq_odds_1,eq_odds_0,eq_odds,up_acc,p_acc,acc-score,del_dp,del_eo,lambda,seed
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6651785714285714,0.0,0.9999999999998332,100.0,0
0,0.9991638795986622,1.0,0.9991638795986623,0.9995819397993311,0.0,0.9991638795986622,0.6668526785714286,0.0008361204013377926,1.0008361204011698,100.0,1
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6651785714285714,0.0,0.9999999999998332,100.0,2
0,0.9958102927468584,0.9932998324958136,0.9974895397489542,0.9953946861223839,0.006700167504187605,0.9974895397489539,0.6674107142857143,0.00418970725314158,0.9958102927466917,100.0,3
0,0.9991652801353479,0.9983277591973247,0.9991624790619766,0.9987451191296507,0.0016722408026755853,0.9991624790619765,0.6662946428571429,0.0008347198646521347,0.9991652801351808,100.0,4
0,0.9797926188019067,0.9731092436974835,0.9933166248955728,0.9832129342965281,0.02689075630252101,0.9933166248955723,0.6724330357142857,0.020207381198093274,0.9797926188017425,100.0,5
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6651785714285714,0.0,0.9999999999998332,100.0,6
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,100.0,7
0,0.9872622733303847,0.9647058823529471,0.9774436090225582,0.9710747456877526,0.03529411764705882,0.9774436090225563,0.6646205357142857,0.012737726669615215,0.9872622733302208,100.0,8
0,0.9949972829588298,0.9866220735785975,0.9916247906197662,0.9891234320991819,0.013377926421404682,0.9916247906197655,0.6651785714285714,0.005002717041170177,0.9949972829586641,100.0,9
0,0.9858612975391499,0.9816666666666697,0.9958053691275172,0.9887360178970934,0.018333333333333333,0.9958053691275168,0.6685267857142857,0.014138702460850111,0.9858612975389858,1000.0,0
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6702008928571429,0.0,0.9999999999998307,1000.0,1
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,1000.0,2
0,0.9958479500301065,0.9950083194675549,0.9991603694374476,0.9970843444525013,0.004991680532445923,0.9991603694374476,0.6657366071428571,0.0041520499698934465,0.9958479500299409,1000.0,3
0,0.9991617770326907,1.0,0.9991617770326907,0.9995808885163453,0.0,0.9991617770326907,0.6651785714285714,0.0008382229673093043,1.0008382229671422,1000.0,4
0,0.9861002120448132,0.9801980198019835,0.9940978077571675,0.9871479137795756,0.019801980198019802,0.9940978077571669,0.6646205357142857,0.01389978795518675,0.9861002120446509,1000.0,5
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,1000.0,6
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,1000.0,7
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6662946428571429,0.0,0.9999999999998327,1000.0,8
0,0.9907837654100349,0.986599664991627,0.9958158995815903,0.9912077822866087,0.01340033500837521,0.99581589958159,0.6685267857142857,0.009216234589965167,0.9907837654098691,1000.0,9
0,0.9833544871516792,0.9716193656093537,0.9882648784576707,0.9799421220335123,0.028380634390651086,0.9882648784576697,0.6674107142857143,0.016645512848320825,0.9833544871515159,10000.0,0
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6662946428571429,0.0,0.9999999999998327,10000.0,1
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6685267857142857,0.0,0.9999999999998316,10000.0,2
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6685267857142857,0.0,0.9999999999998316,10000.0,3
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6629464285714286,0.0,0.9999999999998344,10000.0,4
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,10000.0,5
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6640625,0.0,0.9999999999998338,10000.0,6
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,10000.0,7
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6651785714285714,0.0,0.9999999999998332,10000.0,8
0,1.0,1.0,1.0,1.0,0.0,1.0,0.66796875,0.0,0.9999999999998319,10000.0,9
