,dp,eq_odds_1,eq_odds_0,eq_odds,up_acc,p_acc,acc-score,del_dp,del_eo,lambda,seed
0,1.0,1.0,1.0,1.0,0.5022999080036799,0.5004591368227732,0.5013786764705882,0.0,1.1102230246251565e-15,0.1,0
0,0.988767689874701,0.9757943323314773,0.9981617647058827,0.98697804851868,0.5183150183150184,0.5313653136531366,0.5248161764705882,0.011232310125299055,0.026043902962641363,0.1,1
0,1.0,1.0,1.0,1.0,0.49816176470588236,0.5027573529411765,0.5004595588235294,0.0,1.7763568394002505e-15,0.1,2
0,0.9990682036097607,0.9981618016352938,1.0,0.9990809008176469,0.5004582951420715,0.49953917050691243,0.5,0.0009317963902393694,0.0018381983647066669,0.1,3
0,0.9990842490842491,0.998178506375228,1.0,0.999089253187614,0.49907749077490776,0.4981684981684982,0.49862132352941174,0.0009157509157509158,0.0018214936247699098,0.1,4
0,1.0,1.0,1.0,1.0,0.5013850415512465,0.4967978042086002,0.4990808823529412,0.0,3.4416913763379853e-15,0.1,5
0,0.9982832951608692,0.9967045126527476,1.0,0.9983522563263738,0.5095715587967183,0.5134383688600556,0.5114889705882353,0.001716704839130733,0.0032954873472472723,0.1,6
0,0.9990850869167429,0.9981684981684985,1.0,0.9990842490842493,0.49584487534626037,0.5013723696248856,0.49862132352941174,0.0009149130832570906,0.001831501831501492,0.1,7
0,0.938597313775034,0.8834913259509446,0.9944583602671848,0.9389748431090648,0.5611775528978841,0.6143250688705234,0.5877757352941176,0.06140268622496606,0.12205031378186926,0.1,8
0,0.9981482232404741,0.9963370329300746,1.0,0.9981685164650373,0.4981684981684982,0.4981549815498155,0.49816176470588236,0.0018517767595258368,0.003662967069926082,0.1,9
0,1.0,1.0,1.0,1.0,0.4986251145737855,0.5050691244239631,0.5018382352941176,0.0,3.4416913763379853e-15,1.0,0
0,0.995376498963028,0.9907414875455381,1.0,0.995370743772769,0.5069124423963134,0.5004582951420715,0.5036764705882353,0.004623501036971957,0.009258512454463519,1.0,1
0,1.0,1.0,1.0,1.0,0.498158379373849,0.4981651376146789,0.49816176470588236,0.0,6.661338147750939e-16,1.0,2
0,0.9981515711645101,0.9963167587476986,1.0,0.9981583793738493,0.5018281535648994,0.5,0.5009191176470589,0.0018484288354898336,0.0036832412523020164,1.0,3
