,dp,eq_odds_1,eq_odds_0,eq_odds,up_acc,p_acc,acc-score,del_dp,del_eo,lambda,seed
0,0.7070816541654726,0.6506498151901774,0.9435681610247028,0.79710898810744,0.3493501848098247,0.9435681610247026,0.8040154569892473,0.29291834583452736,0.7070816541654688,0.1,0
0,0.7276153021161418,0.6723891273247515,0.944773825208608,0.8085814762666798,0.32761087267525035,0.9447738252086079,0.799815188172043,0.27238469788385816,0.7276153021161378,0.1,1
0,0.6545459218373515,0.557720960724718,0.9031750388873641,0.730447999806041,0.44227903927528456,0.903175038887364,0.794900873655914,0.34545407816264845,0.654545921837348,0.1,2
0,0.7493347389334934,0.6693288830611535,0.9199941441276581,0.7946615135944057,0.3306711169388485,0.919994144127658,0.7815580197132617,0.2506652610665065,0.7493347389334895,0.1,3
0,0.6709266003110204,0.5740851114554799,0.9031585111444572,0.7386218112999685,0.4259148885445226,0.903158511144457,0.7910506272401434,0.32907339968897964,0.6709266003110168,0.1,4
0,0.7694783211115904,0.714285714285716,0.944807393174124,0.82954655372992,0.2857142857142857,0.9448073931741239,0.7899725582437276,0.23052167888840958,0.7694783211115861,0.1,5
0,0.7425506071475468,0.683774439675729,0.9412238325281804,0.8124991361019547,0.3162255603242728,0.9412238325281803,0.7944248431899642,0.25744939285245316,0.7425506071475428,0.1,6
0,0.5071857355813536,0.4103129657228053,0.9031272301414484,0.6567200979321268,0.5896870342771983,0.9031272301414481,0.8295110887096774,0.4928142644186464,0.507185735581351,0.1,7
0,0.637654979499436,0.5486140089418805,0.9109590294424419,0.7297865191921612,0.4513859910581222,0.9109590294424418,0.8030213933691757,0.362345020500564,0.6376549794994327,0.1,8
0,0.6789317934101603,0.5885683633329384,0.9096365699227759,0.7491024666278572,0.411431636667064,0.9096365699227756,0.7926047267025089,0.3210682065898397,0.6789317934101566,0.1,9
0,0.6217980075819607,0.5350777850628865,0.9132797774809231,0.7241787812719048,0.4649222149371163,0.913279777480923,0.8079637096774194,0.3782019924180393,0.6217980075819575,1.0,0
0,0.5974875003297702,0.5174633448563624,0.9199758445265894,0.718719594691476,0.48253665514364047,0.9199758445265893,0.8172183019713262,0.4025124996702298,0.597487500329767,1.0,1
0,0.6127609918116766,0.5260773678250013,0.913316376013322,0.7196968719191617,0.47392263217500147,0.9133163760133218,0.8101058467741935,0.38723900818832335,0.6127609918116734,1.0,2
0,0.6442460777457978,0.5536480686695305,0.9094019909237302,0.7315250297966304,0.44635193133047213,0.9094019909237301,0.8006412410394266,0.3557539222542022,0.6442460777457945,1.0,3
0,0.6056684472563156,0.5179401597329865,0.9122717124766682,0.7151059361048273,0.4820598402670163,0.912271712476668,0.811211917562724,0.3943315527436843,0.6056684472563125,1.0,4
0,0.23975771980973137,0.18513441020445132,0.9453766903947153,0.5652555502995833,0.8148655897955535,0.9453766903947152,0.9147205421146953,0.7602422801902686,0.2397577198097302,1.0,5
0,0.5284812731122991,0.4564906425080494,0.9280093693957473,0.6922500059518983,0.5435093574919537,0.9280093693957472,0.8376876120071685,0.4715187268877009,0.5284812731122962,1.0,6
0,0.6274628853616504,0.5335876497586007,0.9061247643969479,0.7198562070777743,0.46641235024140193,0.9061247643969477,0.8028393817204301,0.3725371146383496,0.6274628853616471,1.0,7
0,0.6398576970440132,0.5466412350241429,0.9067835379801272,0.726712386502135,0.4533587649758598,0.906783537980127,0.8002772177419355,0.3601423029559868,0.6398576970440097,1.0,8
0,0.6166389157609407,0.527448292304944,0.9108093765440007,0.7191288344244724,0.4725517076950587,0.9108093765440006,0.807865703405018,0.3833610842390593,0.6166389157609374,1.0,9
0,0.6193311057238943,0.5304881683256868,0.9111570626017899,0.7208226154637383,0.46951183167431604,0.9111570626017896,0.8074176747311828,0.38066889427610573,0.619331105723891,10.0,0
0,0.633889865352097,0.5415151695774003,0.9076253042253007,0.7245702369013505,0.45848483042260235,0.9076253042253005,0.8021253360215054,0.36611013464790293,0.6338898653520937,10.0,1
0,0.6358204015649435,0.5461373390557966,0.9103169374908507,0.7282271382733236,0.453862660944206,0.9103169374908505,0.8031053987455197,0.36417959843505654,0.63582040156494,10.0,2
0,0.6500979760076824,0.5618406151278561,0.9117426391201715,0.7367916271240138,0.4381593848721464,0.9117426391201713,0.800501232078853,0.3499020239923177,0.6500979760076788,10.0,3
0,0.6412452079923845,0.5488139229944,0.9075687150020131,0.7281913189982065,0.4511860770056026,0.907568715002013,0.8003612231182796,0.35875479200761556,0.6412452079923812,10.0,4
0,0.6124246288222777,0.5200882212684816,0.9076635924462013,0.7138759068573415,0.47991177873152124,0.9076635924462011,0.8071936603942652,0.3875753711777224,0.6124246288222744,10.0,5
0,0.6203133183042914,0.5188696118762325,0.8985562935719384,0.7087129527240854,0.48113038812377035,0.8985562935719383,0.8005292338709677,0.3796866816957086,0.6203133183042882,10.0,6
0,0.6184843531592036,0.5186289120715378,0.9001445589123316,0.7093867354919348,0.481371087928465,0.9001445589123315,0.801789314516129,0.3815156468407964,0.6184843531592004,10.0,7
0,0.6402034560740815,0.5547871706212021,0.9145837145471182,0.7346854425841601,0.4452128293788005,0.9145837145471181,0.8043514784946236,0.35979654392591853,0.640203456074078,10.0,8
0,0.6588315066776468,0.5639864099660274,0.9051549032883783,0.7345706566272029,0.4360135900339751,0.9051549032883781,0.7949568772401434,0.3411684933223532,0.6588315066776432,10.0,9
0,0.6774259050694449,0.582712369597618,0.9052864645281709,0.7439994170628944,0.4172876304023845,0.9052864645281707,0.790672603046595,0.32257409493055517,0.6774259050694412,100.0,0
0,0.6843484475985632,0.5865625372600478,0.9022140896614823,0.7443883134607651,0.4134374627399547,0.9022140896614822,0.7874243951612904,0.31565155240143683,0.6843484475985596,100.0,1
0,0.6996884703995909,0.6067830959051105,0.9070946255055174,0.756938860705314,0.3932169040948918,0.9070946255055172,0.7863883288530465,0.300311529600409,0.6996884703995871,100.0,2
0,0.7063529286846026,0.6137203480748622,0.9073674193902574,0.7605438837325598,0.3862796519251401,0.9073674193902573,0.7849602374551972,0.29364707131539736,0.7063529286845989,100.0,3
0,0.7362426065557135,0.6500745156482881,0.9138319090925727,0.7819532123704305,0.34992548435171383,0.9138319090925726,0.7813900089605734,0.26375739344428645,0.7362426065557096,100.0,4
0,0.702122823964421,0.6081177732745284,0.9059949493101052,0.7570563612923168,0.39188222672547385,0.905994949310105,0.7852262544802867,0.2978771760355789,0.7021228239644175,100.0,5
0,0.6903554061622917,0.5942659593491113,0.9039105531868173,0.7490882562679644,0.4057340406508911,0.9039105531868172,0.7868923611111112,0.30964459383770826,0.6903554061622881,100.0,6
0,0.7331627444256564,0.6461648489182927,0.9130021044926344,0.7795834767054636,0.35383515108170926,0.9130021044926343,0.7816420250896058,0.26683725557434357,0.7331627444256525,100.0,7
0,0.7418242371242282,0.6529979735367764,0.9111737364125464,0.7820858549746614,0.34700202646322564,0.9111737364125462,0.7786458333333334,0.2581757628757718,0.7418242371242241,100.0,8
0,0.700459768599698,0.6100613935745389,0.9096016249748387,0.7598315092746888,0.3899386064254634,0.9096016249748385,0.7875364023297491,0.29954023140030195,0.7004597685996944,100.0,9
0,0.9998422840080025,0.9713315055429731,0.9714892215349706,0.9714103635389719,0.028668494457027058,0.9714892215349705,0.7500140008960573,0.00015771599199759442,0.9998422840079966,1000.0,0
0,0.985751996313655,0.9906419502890863,0.9763939466027413,0.9835179484459138,0.009358049710913752,0.9763939466027413,0.7492439516129032,0.014248003686345018,1.014248003686339,1000.0,1
0,0.991065911065485,0.9951725370999464,0.9862384481654315,0.9907054926326889,0.004827462900053639,0.9862384481654314,0.7556843637992832,0.008934088934514941,1.008934088934509,1000.0,2
0,0.9919922148649524,0.9614329995231286,0.9694407846581761,0.9654368920906523,0.03856700047687172,0.969440784658176,0.7507980510752689,0.008007785135047681,0.9919922148649466,1000.0,3
0,0.99897247280663,0.9745484890028016,0.9735209618094315,0.9740347254061166,0.025451510997198546,0.9735209618094315,0.7508260528673835,0.0010275271933700113,1.0010275271933642,1000.0,4
